image_name,class_name,class_id,level_1,level_2,level_3
65dfc2fb-e87c-35bc-aa3e-ce5323fde30b.jpg,HSV,24,microbe,HSV,
c7a7d330-46f3-3be1-9a33-8ad051636b92.jpg,Normal,0,negative,Normal,
30d555d4-2f1e-3eb1-a67d-4db6579a57d0.jpg,MPC,3,negative,MPC,
fa9f0875-c657-3856-a9fb-6cc787d69ca1.jpg,LSIL,9,ASC,LSIL,
963d79bb-540c-3d30-b6cc-90bb79d94075.jpg,EMC,6,negative,EMC,
10b45830-b9ef-350e-8351-1ee400ff2f5c.jpg,FUNGI,21,microbe,FUNGI,
b7bf7d91-91d6-3852-aea4-a3e4e1b378e8.jpg,MPC,3,negative,MPC,
a790b863-630c-3f8e-be38-58906178267b.jpg,ASC-H,10,ASC,ASC-H,
80065ddf-691d-3c4a-9c72-f7e07742fc5b.jpg,SCC,12,ASC,SCC,
9ef35523-31ff-3a05-8173-e9296a9569b4.jpg,HCG,7,negative,HCG,
98368123-6dbd-3eba-8466-94112167ff69.jpg,HSIL,11,ASC,HSIL,
5d3842d1-3704-31e5-9e75-a0abbe0c4022.jpg,AGC,13,AGC,,
c3605db7-4f27-3c44-82ef-cb029f2796e0.jpg,HSIL,11,ASC,HSIL,
9127bfd9-7722-3842-b1ac-c71d173d8eb9.jpg,AGC,13,AGC,,
52668b76-d783-3833-b8b7-2955f6bd484d.jpg,ASC-US,8,ASC,ASC-US,
34466b2c-ebe8-3dff-ad96-4562b1f1eaed.jpg,AGC-NOS,14,AGC,AGC-NOS,
79a8f0f3-2dd0-35b6-8a3f-30eaa3c5fbc7.jpg,Atrophy,5,negative,Atrophy,
e655934b-77d3-39c4-8efb-f85ecf09f92a.jpg,HSV,24,microbe,HSV,
3d3a1b0b-8d29-39e3-bc33-e607e161bb77.jpg,ACTINO,22,microbe,ACTINO,
c18d1911-816e-3cce-9096-b230aa2e9f5a.jpg,ASC-H,10,ASC,ASC-H,
5790e277-2733-3f7f-ba9a-5bf9156041ac.jpg,PG,4,negative,PG,
aba350d3-ac23-3fdd-a456-5acc51966273.jpg,SCC,12,ASC,SCC,
feff3c44-9f86-3865-8753-1556fddec485.jpg,FUNGI,21,microbe,FUNGI,
9e2f75fe-7822-36db-a10b-e668091571e2.jpg,ASC-H,10,ASC,ASC-H,
67d7c33e-e101-3c31-a775-297e578ed0d7.jpg,ADC,16,AGC,ADC,
5408ed00-9b39-3e77-9e88-a2e35bd93463.jpg,Normal,0,negative,Normal,
b932e5df-a763-3c3a-83ef-1cb7076c6956.jpg,MPC,3,negative,MPC,
